,Date,AvgTemperture,AverageDew(point via humidity),Humidity,Wind,Pressure,Solar(PV)
0,4/1/2022,87.9,31.3,13.4,5.7,29.2,19.01085714
2,4/3/2022,90.2,34,14.2,6.6,29.1,16.88571429
3,4/4/2022,93.2,31.4,11.8,8.8,29.1,19.62742857
4,4/5/2022,92.5,24.9,9.4,8,29.1,18.92942857
5,4/6/2022,91.2,18.9,7.8,9.4,29.2,18.934
6,4/7/2022,94,26.3,9.4,11,29.2,17.43514286
7,4/8/2022,92.3,24.9,10,6.5,29.1,16.71771429
8,4/9/2022,92.5,30.4,11.9,8.9,29.1,17.14628571
9,4/10/2022,90.6,32,13.3,8.5,29.1,15.93885714
10,4/11/2022,89.9,30.4,12.3,7.9,29.1,16.93914286
11,4/12/2022,84.8,29.2,14,12.2,29.1,15.09142857
12,4/13/2022,78.7,28.5,17.8,8.9,29.1,19.33571429
13,4/14/2022,78.9,24.9,16.4,8.1,29.1,19.55371429
14,4/15/2022,83.9,18.8,10.3,7.8,29.1,23.59771429
15,4/16/2022,86.9,23.5,10.6,6.3,29.1,21.01285714
16,4/17/2022,91.6,26.6,10,6.8,29.1,22.77028571
17,4/18/2022,92,26.7,10.4,5,29,22.112
18,4/19/2022,85.2,37.4,19,12.3,29.1,20.432
19,4/20/2022,80.6,29.5,16.6,12.7,29.2,16.17942857
20,4/21/2022,77.7,26.7,17.5,8.5,29.1,16.29342857
21,4/22/2022,84,24.8,12.2,6.9,29.1,18.65428571
22,4/23/2022,82.6,17.4,10.4,9.1,29,17.75114286
23,4/24/2022,84.2,21.4,10.1,4.6,29,20.66314286
24,4/25/2022,88.9,25.6,10.8,5.7,29,18.07685714
25,4/26/2022,89.1,27.4,11.3,7,29,19.68
26,4/27/2022,89,34.3,17.4,7.7,29,17.42057143
27,4/28/2022,90.3,31.8,13.3,5.8,29,20.02685714
28,4/29/2022,92.1,28.6,10.8,5.2,29.1,18.788
29,4/1/2022,87.9,31.3,13.4,5.7,29.2,19.01085714
31,4/3/2022,90.2,34,14.2,6.6,29.1,16.88571429
32,4/4/2022,93.2,31.4,11.8,8.8,29.1,19.62742857
33,4/5/2022,92.5,24.9,9.4,8,29.1,18.92942857
34,4/6/2022,91.2,18.9,7.8,9.4,29.2,18.934
35,4/7/2022,94,26.3,9.4,11,29.2,17.43514286
36,4/8/2022,92.3,24.9,10,6.5,29.1,16.71771429
37,4/9/2022,92.5,30.4,11.9,8.9,29.1,17.14628571
38,4/10/2022,90.6,32,13.3,8.5,29.1,15.93885714
39,4/11/2022,89.9,30.4,12.3,7.9,29.1,16.93914286
40,4/12/2022,84.8,29.2,14,12.2,29.1,15.09142857
41,4/13/2022,78.7,28.5,17.8,8.9,29.1,19.33571429
42,4/14/2022,78.9,24.9,16.4,8.1,29.1,19.55371429
43,4/15/2022,83.9,18.8,10.3,7.8,29.1,23.59771429
44,4/16/2022,86.9,23.5,10.6,6.3,29.1,21.01285714
45,4/17/2022,91.6,26.6,10,6.8,29.1,22.77028571
46,4/18/2022,92,26.7,10.4,5,29,22.112
47,4/19/2022,85.2,37.4,19,12.3,29.1,20.432
48,4/20/2022,80.6,29.5,16.6,12.7,29.2,16.17942857
49,4/21/2022,77.7,26.7,17.5,8.5,29.1,16.29342857
50,4/22/2022,84,24.8,12.2,6.9,29.1,18.65428571
51,4/23/2022,82.6,17.4,10.4,9.1,29,17.75114286
52,4/24/2022,84.2,21.4,10.1,4.6,29,20.66314286
53,4/25/2022,88.9,25.6,10.8,5.7,29,18.07685714
54,4/26/2022,89.1,27.4,11.3,7,29,19.68
55,4/27/2022,89,34.3,17.4,7.7,29,17.42057143
56,4/28/2022,90.3,31.8,13.3,5.8,29,20.02685714
57,4/29/2022,92.1,28.6,10.8,5.2,29.1,18.788
58,3/1/2022,72.7,21.6,17.1,8.5,29.3,23.91428571
59,3/2/2022,75.6,32.4,21.2,6.5,29.2,16.40828571
60,3/3/2022,73,22.3,15.7,12.9,29.2,20.15485714
61,3/4/2022,67.2,29.5,26.1,10.3,29.3,23.18514286
62,3/5/2022,73.9,30.3,22.2,6.7,29.2,25.60571429
63,3/6/2022,75.1,27.4,18.2,5.5,29.1,24.52828571
64,3/7/2022,77.9,22.9,13.6,10.2,29.1,30.93857143
65,3/8/2022,77.9,30.3,19.6,9.9,29.1,26.74657143
66,3/9/2022,82,27.7,15.2,9.3,29,25.46942857
68,3/11/2022,62.4,26.1,25.6,11.8,29.3,25.776
69,3/12/2022,61.4,27.3,28.9,11.2,29.3,30.08085714
70,3/13/2022,59.5,24.4,28.6,8.7,29.3,26.64714286
71,3/14/2022,57.3,24.2,26.8,10.8,29.4,24.17514286
72,3/15/2022,58,23,26.7,14.9,29.5,22.51057143
73,3/16/2022,60.5,24,26.3,10.1,29.4,24.12657143
74,3/17/2022,63.8,24.5,24.9,8.9,29.4,20.10942857
75,3/18/2022,67.8,19.5,18.4,7.6,29.3,26.13828571
76,3/19/2022,69.6,18.6,15.8,8.7,29.3,27.48942857
77,3/20/2022,71,23.4,18.4,7.9,29.2,29.568
78,3/21/2022,70.2,23.6,18,8.1,29.1,28.12085714
79,3/22/2022,69.7,31.6,26.2,10,29.2,30.22971429
80,3/23/2022,61.9,25.3,26.4,10.8,29.3,31.71114286
81,3/24/2022,61.3,19.4,21.6,8.7,29.4,32.01314286
82,3/25/2022,60.9,22.9,23.8,10.5,29.4,31.524
83,3/26/2022,62.3,27.4,29.4,10.5,29.4,29.58085714
84,3/27/2022,68.5,25.5,21.1,12.5,29.4,35.39714286
85,3/28/2022,71.1,15.3,12.5,9.8,29.3,28.09942857
86,3/29/2022,76.8,24.5,14.9,9.1,29.2,27.24828571
87,3/30/2022,79.1,26.2,14.8,9.7,29.2,25.85885714
88,3/31/2022,82,26.2,14.8,8.3,29.2,31.20514286
89,2/1/2022,62,34.7,37.5,7.2,29.4,13.66828571
90,2/2/2022,60.5,37.6,44.4,5.3,29.3,14.37342857
91,2/3/2022,62.3,28.5,29.6,8.8,29.3,15.984
92,2/4/2022,59.5,27.8,30.9,11.1,29.4,15.95428571
93,2/5/2022,56.6,32.8,42.4,9.3,29.5,17.63628571
94,2/6/2022,56.4,32.3,42.6,7.7,29.5,19.34742857
95,2/7/2022,60.6,31.5,35.9,8.1,29.4,25.11542857
96,2/8/2022,63.2,29.7,31.1,7.4,29.4,18.05171429
97,2/9/2022,61,21.1,20.4,8.4,29.3,16.30628571
98,2/10/2022,58.3,28,32.3,10.5,29.4,13.59457143
99,2/11/2022,58.2,30.7,36.6,8.4,29.4,18.31114286
100,2/12/2022,62.7,35.3,38.6,7.7,29.4,16.71914286
101,2/13/2022,63.9,35.1,36.8,7.5,29.4,17.08971429
102,2/14/2022,66.5,28.9,26,7.9,29.3,19.73457143
103,2/15/2022,64.8,29.4,29,7.9,29.3,20.44428571
104,2/16/2022,63.8,31.9,33.3,7.7,29.3,21.75685714
105,2/17/2022,64.5,28.1,28.7,6.2,29.2,20.214
106,2/18/2022,65.5,30.6,28.9,10.7,29.2,21.36485714
107,2/19/2022,61.1,36.4,41.4,12.8,29.4,17.34828571
108,2/20/2022,61.9,34.9,37.7,8,29.4,19.46428571
109,2/21/2022,63.5,36,38.5,7.9,29.4,19.16285714
110,2/22/2022,67,32.7,31.1,5.7,29.3,24.32571429
111,2/23/2022,70.5,30.4,23.4,6,29.2,23.15914286
112,2/24/2022,65.1,27.6,25.5,8.2,29.3,27.54428571
113,2/25/2022,64.3,32.8,32.2,9.7,29.4,25.50857143
114,2/26/2022,62.3,33,35,6.2,29.4,19.01857143
115,2/27/2022,64.7,32.8,32.9,7.8,29.4,19.60342857
116,2/28/2022,69.8,27.1,22.5,8.5,29.3,20.93771429
117,1/1/2022,61.8,38.6,43.7,14.1,29.2,14.57057143
122,1/6/2022,63,41.2,46,12.4,29.3,13.44628571
123,1/7/2022,65.3,38.3,38.1,11.8,29.3,13.16028571
124,1/8/2022,68,39.3,35.8,12.3,29.3,16.55857143
125,1/9/2022,64.5,37.9,38.1,13,29.3,16.18171429
126,1/10/2022,61.8,32.9,34.7,15.2,29.3,12.27057143
127,1/11/2022,59,22.8,26,12.3,29.3,12.48857143
128,1/12/2022,63.4,31.7,31.1,10.9,29.3,10.96571429
129,1/13/2022,67.2,25.8,22.4,10.5,29.3,14.55171429
130,1/14/2022,61.3,33.8,36.2,8.3,29.3,14.32542857
131,1/15/2022,58.4,32.5,39.4,8.9,29.3,18.55971429
132,1/16/2022,53.5,26.4,37.9,7.8,29.4,16.492
133,1/17/2022,53.9,30.6,43,10.4,29.4,22.73628571
134,1/18/2022,53.6,29.2,42.8,4.9,29.5,22.35114286
135,1/19/2022,52,27.7,40.3,8.6,29.5,17.66657143
136,1/20/2022,53.9,31.4,44.4,9.5,29.6,15.51942857
137,1/21/2022,56.8,34.6,44.2,9,29.5,17.34571429
139,1/23/2022,58,30,35.3,8,29.4,17.332
140,1/24/2022,55.5,27.9,37.3,8.9,29.4,19.72
141,1/25/2022,52.8,25.7,37.5,8.6,29.4,22.14457143
142,1/26/2022,51.1,24.4,36.5,10.1,29.5,22.02114286
143,1/27/2022,51.6,26.4,39,9,29.5,15.76142857
144,1/28/2022,52.8,28.1,41.4,7.1,29.4,16.20085714
146,1/30/2022,58.8,30.4,34.8,12.3,29.4,18.03371429
147,12/1/2021,76,40.6,28.8,13.8,29.3,30.744
148,12/2/2021,66,44,45.8,13.2,29.3,32.29285714
149,12/3/2021,68.9,43.3,40.6,10.3,29.3,27.96228571
150,12/4/2021,70,42.1,38,7.7,29.3,28.01114286
151,12/5/2021,67.4,33.8,29.6,10.6,29.3,28.17857143
152,12/6/2021,65.2,42.7,45,9.1,29.3,28.79342857
153,12/7/2021,71.7,41.2,35.8,8.2,29.3,27.214
154,12/8/2021,63.1,27.2,27.1,16.3,29.4,33.16257143
157,12/11/2021,71.5,48.8,46.2,12.8,29.3,32.52685714
160,12/14/2021,71.7,47.8,45.3,13.3,29.2,35.59914286
161,12/15/2021,63.4,39,41.7,15.6,29.3,36.81942857
162,12/16/2021,59.2,35,42,13.1,29.4,28.172
163,12/17/2021,59.6,35.7,41.8,12.1,29.4,29.27685714
164,12/18/2021,58.9,37.9,46.4,10.9,29.4,29.08685714
165,12/19/2021,55.7,33.5,44.2,6.5,29.4,31.17885714
166,12/20/2021,58.3,32,37.6,10.5,29.4,26.51171429
167,12/21/2021,52.1,29.9,44.3,8.7,29.5,30.69314286
168,12/22/2021,57,34.6,45.1,11.1,29.5,31.86571429
169,12/23/2021,55,35.1,45.3,11.3,29.4,33.73714286
170,12/24/2021,59.8,39.1,47.7,13.7,29.4,33.93971429
171,12/25/2021,58.7,33.4,39.5,14.6,29.4,31.66114286
172,12/26/2021,59.3,34.1,39.9,13.8,29.4,35.36485714
173,12/27/2021,61.1,34.9,38.1,13.7,29.4,34.12914286
174,12/28/2021,62.7,32,32.8,10.5,29.3,35.24257143
175,12/29/2021,59.5,36,43.6,11.1,29.3,32.58885714
176,12/30/2021,60.5,36.4,42,10.4,29.3,37.02142857
177,12/31/2021,66.7,37.1,35.1,13.1,29.3,30.112
178,11/1/2021,87.9,47.9,25.4,9.4,29.2,20.42771429
179,11/2/2021,83.2,44.4,26.1,13.1,29.3,18.10228571
180,11/3/2021,82.6,47,29.6,12.3,29.3,20.83428571
181,11/4/2021,83,47.2,29.4,10.4,29.3,26.28542857
182,11/5/2021,82.3,45.5,29.2,8,29.2,26.63742857
183,11/6/2021,83.6,44.3,26.9,9.1,29.2,28.17057143
184,11/7/2021,82.8,43.7,27.3,8.2,29.1,22.11742857
185,11/8/2021,82.7,37.9,21.5,9,29.2,22.86857143
187,11/10/2021,80.8,34.9,19.9,8.1,29.2,26.04028571
188,11/11/2021,79.1,34.6,20.6,8.3,29.2,24.03342857
189,11/12/2021,72,46.6,38.5,8.1,29.1,28.89257143
193,11/16/2021,75.9,51.5,44.9,9,29.2,21.91571429
194,11/17/2021,76.4,49.6,40.5,10.2,29.3,21.202
195,11/18/2021,77.9,43.9,32,13.2,29.3,22.88771429
196,11/19/2021,71.7,44.5,40,10.6,29.3,23.386
197,11/20/2021,69.2,43.4,41.3,11,29.2,25.85657143
198,11/21/2021,69.7,40.7,35.8,8.6,29.3,24.70342857
199,11/22/2021,65.8,40.5,40.4,8.3,29.4,23.72228571
200,11/23/2021,66.8,41.7,41.5,8.3,29.4,27.62057143
201,11/24/2021,68.5,38.3,34.6,7.5,29.3,27.14114286
202,11/25/2021,72,37.2,29.5,7.5,29.3,32.26
203,11/26/2021,75.4,38.1,26.7,8.1,29.3,26.504
204,11/27/2021,74.4,38.7,28.7,9.2,29.3,26.99257143
205,11/28/2021,76,38.5,26.4,10.1,29.3,30.23857143
206,11/29/2021,78.4,44.4,31.8,7.8,29.3,26.886
207,11/30/2021,81.6,40.8,24.9,8.2,29.3,27.28057143
208,10/1/2021,85.7,46.6,27.1,11.3,29.1,16.084
209,10/2/2021,83.5,49.5,31.7,10.9,29.1,16.45314286
210,10/3/2021,83.2,48,30.7,11.7,29.2,16.224
211,10/4/2021,82.8,49,32.6,10.6,29.2,16.56428571
212,10/5/2021,82.3,48.4,32.3,10.7,29.1,12.67571429
213,10/6/2021,81.2,47,32.2,9.1,29.1,13.61857143
214,10/7/2021,82.7,46.9,31.1,10.1,29.1,13.35914286
215,10/8/2021,85.1,44,24.8,11.4,29.1,20.818
216,10/9/2021,89.6,46.4,23.2,12.1,29.1,21.04085714
217,10/10/2021,94.2,47.3,20.9,10.7,29.1,19.01828571
218,10/11/2021,95.5,44,17.8,7.3,29.1,16.046
219,10/12/2021,94.4,44.5,18.4,4.4,29,15.50057143
220,10/13/2021,92.8,49.4,23.2,11,29.1,16.03371429
221,10/14/2021,91.5,50.1,26.1,9.1,29.1,16.34085714
222,10/15/2021,92.7,45.9,21.3,10.1,29.2,15.43685714
223,10/16/2021,91.3,39.3,16.8,12.9,29.2,13.31742857
224,10/17/2021,89,37.8,16.8,12.7,29.2,18.77885714
225,10/18/2021,84.7,36.8,18.4,14.6,29.2,19.68
226,10/19/2021,81.4,41.5,25.4,13.6,29.3,20.526
227,10/20/2021,80.4,43.6,27.9,13.3,29.3,17.17742857
228,10/21/2021,83,43.6,26.5,12.5,29.3,21.97942857
229,10/22/2021,79.2,44.3,30.4,13.3,29.3,21.38685714
230,10/23/2021,79.5,42.8,28.4,10.5,29.3,20.68342857
231,10/24/2021,76.6,44.9,34.7,8.6,29.3,20.93885714
232,10/25/2021,78.6,44.3,30.8,9.8,29.2,23.682
233,10/26/2021,80,44.7,29.3,9.1,29.2,27.278
234,10/27/2021,84.3,46,27.6,9.9,29.2,19.308
235,10/28/2021,85.6,42.9,23.3,6.9,29.2,19.01228571
236,10/29/2021,86.7,42.3,21.6,9.6,29.2,19.78142857
237,10/30/2021,86.3,43.2,22.7,9.3,29.2,23.67942857
238,10/31/2021,87.8,46.2,25.1,8.9,29.2,17.36857143
239,9/1/2021,96.8,49.5,21.4,11.1,29,18.37085714
240,9/2/2021,99.2,50.4,20.8,11.3,28.9,13.72828571
241,9/3/2021,99.5,56.2,24.3,11.7,29,16.38114286
242,9/4/2021,98,49.9,20.2,9.9,29,12.83171429
243,9/5/2021,93.8,50.1,23,11.4,29,15.03114286
244,9/6/2021,93.4,50,23.9,11.1,29.1,12.50057143
245,9/7/2021,94.4,47,20.5,13.5,29.1,14.44371429
246,9/8/2021,94.8,41.9,16.9,12.2,29.1,14.01342857
247,9/9/2021,97,46.2,18.2,15,29.1,13.26485714
248,9/10/2021,92.6,50.7,24.9,12.5,29.1,11.73
249,9/11/2021,88.8,49.5,27.3,12.8,29.1,8.581428571
250,9/12/2021,87.8,48.5,27.5,12,29.1,11.92228571
251,9/13/2021,90.4,43.7,21.8,10.7,29.1,10.26571429
252,9/14/2021,94.1,45.7,20.1,12.2,29.1,11.69
253,9/15/2021,93.9,49.4,22.9,12.4,29.2,11.64
254,9/16/2021,87.3,46.8,25.2,12.6,29.1,16.17257143
255,9/17/2021,85.7,46.8,27.2,9.8,29.1,17.38114286
256,9/18/2021,85.1,49.1,30.1,7.4,29.1,19.59371429
257,9/19/2021,87.6,45.1,24.5,8.8,29.1,15.50114286
258,9/20/2021,91,42.4,19,8.4,29.1,13.28485714
259,9/21/2021,93.5,40,16,8.5,29.1,13.29628571
260,9/22/2021,93.2,40.3,16.6,8.9,29.1,12.44514286
261,9/23/2021,92.3,40.8,17.6,10.7,29.1,12.60971429
262,9/24/2021,89.6,47.7,24.5,13.2,29.1,11.50057143
263,9/25/2021,87.7,49.3,28.1,12.5,29.2,15.04314286
264,9/26/2021,87.1,46.6,25.6,9.4,29.2,13.95257143
265,9/27/2021,87.1,46,25.6,11.4,29.2,17.39914286
266,9/28/2021,87.8,43.6,22.1,13.2,29.2,14.98171429
267,9/29/2021,81.8,44.1,27.6,10.3,29.1,15.77314286
268,9/30/2021,86.7,40.7,21.2,9.4,29.1,15.08257143
269,8/1/2021,97,43.3,16.2,6.8,29,25.40685714
270,8/2/2021,97.9,39,13.1,5.8,29,23.45857143
271,8/3/2021,95.7,43,16.8,5.2,29,23.49342857
272,8/4/2021,99.3,54.1,24.9,16.1,29.1,26.144
273,8/5/2021,99.2,51.5,21.5,9.7,29.1,25.98742857
274,8/6/2021,95.9,61.4,33.7,12.4,29,28.70457143
275,8/7/2021,98,63.9,35.2,12.2,29,24.41171429
276,8/8/2021,99.8,57.3,28.1,12.1,29.1,22.528
277,8/9/2021,98.5,58.1,30,13.8,29.1,20.39914286
278,8/10/2021,96.7,47,19,13.3,29.1,23.75142857
279,8/11/2021,96,45.6,18.7,9.8,29,20.55657143
280,8/12/2021,95.6,43.4,17.7,12.7,29.1,22.50028571
281,8/13/2021,97.1,39.7,14.5,9.6,29.1,19.74314286
282,8/14/2021,99.5,44.8,16.1,12.2,29,22.28257143
283,8/15/2021,95.6,41,15.7,10.9,29,23.91628571
284,8/16/2021,95.7,40.1,15.8,9,29.1,19.17942857
285,8/17/2021,95.1,43,17.2,10.1,29.1,19.87142857
286,8/18/2021,93.7,45.8,20.1,10.1,29,17.96314286
287,8/19/2021,92.7,44.2,19.5,11.1,29,19.78914286
288,8/20/2021,93.9,39.6,16.5,12.2,29,16.24885714
289,8/21/2021,94.4,44,18.4,11.2,29,20.44257143
290,8/22/2021,94.8,43,17,12.3,29,17.03657143
291,8/23/2021,96.9,45.6,17.7,11.9,29,17.564
292,8/24/2021,99.8,48.7,18,10.4,29.1,16.58828571
293,8/25/2021,94,47.3,20.5,11.1,29.1,19.05914286
294,8/26/2021,93.9,47,20.5,12,29,15.524
295,8/27/2021,95.5,48.2,20.4,11.3,29.1,14.49714286
296,8/28/2021,94.5,47.9,20.7,16.2,29,15.96285714
297,8/29/2021,96.2,46.3,18.8,12.5,29,16.378
298,8/30/2021,96,41.1,15.3,13.8,29,19.16142857
299,8/31/2021,95.4,49,22.2,13.1,29,17.34885714
300,7/1/2021,102,47,15,11,29.4,31.20685714
301,7/2/2021,101.25,45,12,13,29.4,33.34342857
302,7/3/2021,99.75,46,11.5,15,29.45,29.41057143
303,7/4/2021,98.75,42.5,15,12.4,29,32.76514286
304,7/5/2021,97.75,42,16.5,12,29.4,31.07485714
305,7/6/2021,96.5,40.3,18,12,29.4,31.73571429
306,7/7/2021,97,40.9,17,10,29.4,28.91628571
307,7/8/2021,99,42,18,11,29,30.74257143
308,7/9/2021,97,41.6,16,13,29.3,32.76742857
309,7/10/2021,98,43,13,12.5,29.5,33.55714286
310,7/11/2021,102,47,14,10.3,29.4,33.17742857
311,7/12/2021,102.7,47.4,15.8,9.8,29,32.46314286
312,7/13/2021,97.3,47.2,19,10.6,29,34.40685714
314,7/15/2021,94.2,41.5,16.6,9.4,29,33.89571429
315,7/16/2021,95.3,39.8,15.2,10.9,29,31.54914286
316,7/17/2021,98,39.9,13.8,7.5,28.9,31.77885714
317,7/18/2021,95,42.2,15,7,28.9,29.99542857
318,7/19/2021,99.8,52,20.8,6.9,29,31.64485714
319,7/20/2021,100.8,48.6,18.1,11.5,29,30.54971429
320,7/21/2021,102,44.7,14.3,11.8,29,29.20085714
321,7/22/2021,96.3,44.8,15.7,9.2,29,28.11828571
322,7/23/2021,98.8,51,20.7,12.5,29,23.79885714
323,7/24/2021,95.2,49.1,21.3,9,29,24.54114286
325,7/26/2021,92,46.4,21.8,10.4,29.1,25.16371429
326,7/27/2021,93.2,46.3,20.8,11.7,29.1,22.166
327,7/28/2021,95.2,46.3,19.6,12.3,29,24.70828571
328,7/29/2021,95.8,44.4,17.4,10.5,29,22.95885714
329,7/30/2021,95.9,42.3,16.4,11.5,29,25.98457143
330,7/31/2021,90.6,42,18.8,8.8,29,24.43857143
331,6/1/2021,89.1,29.1,11.8,8.9,29.1,33.60885714
332,6/2/2021,93.6,37.8,15.3,10.3,29.1,33.30542857
333,6/3/2021,88.7,40.2,16.3,10.3,29.1,34.35028571
334,6/4/2021,97.9,41.9,15.4,7.6,29.1,34.75257143
335,6/5/2021,97.5,42.1,15.5,10.5,29.1,34.74371429
336,6/6/2021,92.4,38.1,15.4,8.6,29.1,35.20971429
338,6/8/2021,99,36.4,12,10.6,29,35.53085714
339,6/9/2021,99.2,41.8,14.3,12.4,29.1,33.55228571
340,6/10/2021,93.2,36.9,14.2,10.8,29.1,34.32571429
341,6/11/2021,101.1,38.6,11.8,17.1,29.1,30.63657143
342,6/12/2021,95.7,35.3,12.6,15.8,29.1,34.884
344,6/14/2021,99.4,41,14.7,16.5,29,33.81742857
345,6/15/2021,91.1,36.9,16.1,12.9,29.1,32.84942857
346,6/16/2021,87.5,35.7,15.6,7.2,29.1,32.362
348,6/18/2021,97,39,13.9,16.3,29.1,31.76314286
349,6/19/2021,89.9,39,18.9,13.4,29.1,32.85371429
350,6/20/2021,86.8,40.7,20.5,12.5,29.1,32.30571429
351,6/21/2021,95,42.6,17,11.6,29.1,34.22828571
352,6/22/2021,97.6,36.2,12.8,10.8,29.1,29.72914286
353,6/23/2021,101.2,33.5,10.1,10.9,29.1,32.22057143
354,6/24/2021,100.3,38.4,12.7,14.2,29.1,30.85142857
355,6/25/2021,94.6,35.4,14.6,10.9,29.1,31.83028571
356,6/26/2021,96.3,42.8,16.4,10.1,29,29.41914286
357,6/27/2021,94.8,43.8,17.8,10.3,29,30.49085714
358,6/28/2021,93.4,44,18.6,13.9,29,32.40942857
359,6/29/2021,87.8,36,15.8,13,29,33.17714286
360,6/30/2021,89,36,15.5,15.5,29,34.83428571
361,5/1/2021,79.9,29.7,16.9,8.4,29.2,40.03885714
362,5/2/2021,91.6,34.4,13.5,8.5,29.1,35.93885714
364,5/4/2021,92.9,33.1,13,10,29.1,33.12971429
365,5/5/2021,90.7,35.2,14.8,14,29.2,36.44
366,5/6/2021,82.9,26,14.5,10.6,29.2,32.96742857
367,5/7/2021,77,31.1,20.4,10.1,29.2,33.27828571
368,5/8/2021,86.4,25.1,11.7,9.9,29.1,32.20428571
369,5/9/2021,80.2,26.9,13.3,9.4,29.2,33.63771429
370,5/10/2021,86,35.5,18.8,8.4,29.2,33.05171429
371,5/11/2021,81.8,29.6,15.9,7.9,29.2,33.01142857
372,5/12/2021,95.6,22.6,7.4,7,29.1,36.45028571
373,5/13/2021,91.4,26.8,10.2,10.5,29.1,34.52942857
374,5/14/2021,96.5,37.5,13.4,11.1,29.1,35.69257143
375,5/15/2021,96.9,45.2,19.2,10.9,29,33.83685714
376,5/16/2021,95.5,52.6,23.6,14.6,29,38.922
377,5/17/2021,98.1,47,18.1,8.9,29.1,36.21771429
378,5/18/2021,94.5,44.5,19.5,11.9,29.1,35.30428571
379,5/19/2021,99.9,46.4,16.7,10.3,29.1,31.37685714
380,5/20/2021,97.5,51.1,22.5,10.9,29.1,33.20171429
381,5/21/2021,94.9,53.2,25.9,9.3,29.1,33.48514286
382,5/22/2021,102.7,43.1,14,12.4,29.1,32.79342857
383,5/23/2021,94.7,39.1,14,9.8,29.1,33.35742857
384,5/24/2021,85.6,38.3,20.5,16.6,29.2,32.36885714
385,5/25/2021,84.5,27.9,15.3,11.5,29.2,35.54571429
386,5/26/2021,86.4,24.7,11.6,11.5,29.2,34.92771429
387,5/27/2021,90.3,32.2,13.9,9.9,29.1,37.39571429
388,5/28/2021,87.3,38.9,18.9,13.6,29.2,33.88457143
389,5/29/2021,70.8,30.4,16.1,11.1,29.2,36.02085714
390,5/30/2021,83.8,22.8,12.5,12.7,29.2,32.62657143
391,5/31/2021,85,22.3,12.6,11.1,29.2,33.60885714
392,4/1/2021,80,29.4,16.7,10.9,29.2,31.21485714
393,4/2/2021,79.7,31.3,18.1,10.3,29.2,34.046
394,4/3/2021,77.2,30.4,20.7,10.8,29.2,34.18714286
395,4/4/2021,73.1,25.1,17.3,9,29.2,31.44228571
396,4/5/2021,85.6,26.3,11.8,7.6,29.2,31.60657143
397,4/6/2021,81,37.3,21,12.3,29.2,30.52542857
398,4/7/2021,85.9,37.9,18.5,14.3,29.2,35.38685714
399,4/8/2021,77.6,31.9,19.6,16.6,29.2,33.41028571
400,4/9/2021,72.7,32.1,23.4,11.7,29.2,36.43714286
401,4/10/2021,74.4,31.9,22.2,12.7,29.3,34.79742857
402,4/11/2021,70.6,31.3,24.6,10.6,29.3,37.41514286
403,4/12/2021,74.5,25.4,17.1,9.8,29.3,34.65257143
404,4/13/2021,70,30.1,24,9,29.3,37.55542857
406,4/15/2021,76.7,31.3,19.7,8.1,29.3,36.14
407,4/16/2021,82,33.5,18.1,8.1,29.2,37.792
408,4/17/2021,78.2,35.1,22.4,11.8,29.1,36.38257143
409,4/18/2021,76.1,41.3,30.4,10,29.1,35.09971429
410,4/19/2021,77.3,42.3,30,8.6,29.1,30.89542857
411,4/20/2021,85.4,42.1,22.2,10.2,29.1,34.00885714
412,4/21/2021,85.3,37.8,19.2,8,29.1,32.44657143
413,4/22/2021,86.5,36.1,18.3,8.6,29.1,33.73657143
414,4/23/2021,86.1,30.9,14.3,7.8,29.1,30.90514286
415,4/24/2021,79,38.6,26.6,8.2,29.1,33.85085714
416,4/25/2021,83.3,39.4,21.8,12.7,29.1,33.19428571
417,4/26/2021,78.3,40.1,26.8,7.3,29.2,34.99628571
418,4/27/2021,75.2,32.3,17.6,6.6,29.2,37.42742857
419,4/28/2021,86.6,37,21.4,16.9,29,33.62342857
420,4/29/2021,86.1,35.1,17.1,14.5,29.1,34.01028571
421,4/30/2021,81.9,25.3,14.1,12.7,29.2,35.11
